Layer,Accuracy,Precision,Recall,F1 Score
0,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
1,0.75,0.84375,0.75,0.7447552447552447
2,0.75,0.84375,0.75,0.7447552447552447
3,0.75,0.84375,0.75,0.7447552447552447
4,0.75,0.763888888888889,0.75,0.7517482517482518
5,0.75,0.84375,0.75,0.7447552447552447
6,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
7,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
8,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
9,0.75,0.763888888888889,0.75,0.7517482517482518
10,0.5833333333333334,0.6458333333333334,0.5833333333333334,0.5745920745920746
11,0.5833333333333334,0.6458333333333334,0.5833333333333334,0.5745920745920746
