Layer,Accuracy,Precision,Recall,F1 Score
0,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,0.75,0.84375,0.75,0.7447552447552447
3,0.75,0.84375,0.75,0.7447552447552447
4,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
5,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
6,0.5833333333333334,0.5972222222222222,0.5833333333333334,0.5862470862470862
7,0.5,0.7727272727272728,0.5,0.40625
8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6458333333333334
9,0.75,0.763888888888889,0.75,0.7517482517482518
10,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
11,0.5,0.5285714285714286,0.5,0.5
