Layer,Accuracy,Precision,Recall,F1 Score
0,0.75,0.84375,0.75,0.7447552447552447
1,0.75,0.763888888888889,0.75,0.7517482517482518
2,0.75,0.84375,0.75,0.7447552447552447
3,0.75,0.84375,0.75,0.7447552447552447
4,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
5,0.75,0.84375,0.75,0.7447552447552447
6,0.6666666666666666,0.8148148148148149,0.6666666666666666,0.6476190476190476
7,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
8,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
9,0.8333333333333334,0.8809523809523809,0.8333333333333334,0.8333333333333334
10,0.5,0.5740740740740741,0.5,0.47142857142857136
11,0.6666666666666666,0.8148148148148149,0.6666666666666666,0.6476190476190476
