Layer,Accuracy,Precision,Recall,F1 Score
0,0.84375,0.8444940476190477,0.84375,0.8432881773399015
1,0.8125,0.8160425101214575,0.8125,0.8110119047619048
2,0.9375,0.944078947368421,0.9375,0.9370039682539681
3,0.96875,0.970486111111111,0.96875,0.9686576354679803
4,0.96875,0.970486111111111,0.96875,0.9686576354679803
5,0.96875,0.970486111111111,0.96875,0.9686576354679803
6,0.96875,0.970486111111111,0.96875,0.9686576354679803
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
