Layer,Accuracy,Precision,Recall,F1 Score
0,0.75,0.84375,0.75,0.7447552447552447
1,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
2,0.75,0.84375,0.75,0.7447552447552447
3,0.75,0.84375,0.75,0.7447552447552447
4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
5,0.75,0.763888888888889,0.75,0.7517482517482518
6,0.25,0.25,0.25,0.23426573426573427
7,0.9166666666666666,0.9305555555555557,0.9166666666666666,0.9172494172494172
8,0.4166666666666667,0.17361111111111113,0.4166666666666667,0.2450980392156863
9,0.5,0.5740740740740741,0.5,0.47142857142857136
10,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666
11,0.5833333333333334,0.7916666666666666,0.5833333333333334,0.537037037037037
